group,trial,producer,phase_bytes,throughput_MB_s,write_syscall_s,max_write_ms,eagain_count,partial_count,write_calls,blocked_s,max_backpressure_wait_ms,syscall_s_per_GiB,eagain_per_GiB,partial_per_GiB
256-pre,2,7,221229127,3.6871630552503976,1.669370088,0.489917,215434,215652,485136,57.985465812,2.976917,8.102334929975836,1045615.0112259676,1046673.0803907571
256-pre,2,8,220700815,3.6783577678220816,1.665461339,0.494791,214979,215172,484072,57.989913245,2.630375,8.102713603206867,1045904.3550958161,1046843.3283933636
256-pre,2,9,220500606,3.675023023830967,1.66674581,0.382666,214860,215006,483738,57.988848505,5.629833,8.116325477009154,1046274.5318016949,1046985.4881530076
256-pre,2,10,220106574,3.6684556173128064,1.673622688,0.48275,214409,214607,482792,57.982667944,3.029083,8.164402566644387,1045947.4542637514,1046913.3539971778
256-pre,2,11,219822429,3.6637191181491193,1.670482477,0.678375,214182,214375,482263,57.983268676,2.911083,8.159617332833758,1046190.6566775677,1047133.3820080752
256-pre,2,12,219426754,3.65712402565528,1.644043969,0.373709,213732,213920,481262,58.014596984,4.069208,8.044956860685545,1045875.1421313373,1046795.1004282732
256-pre,2,13,219406319,3.6567836850411255,1.653877099,0.383042,213661,213872,481138,58.00396221,2.995625,8.093828022118581,1045625.0891190787,1046657.6916708037
256-pre,2,14,219062558,3.651053525643018,1.654825261,0.569,213380,213563,480464,58.003351327,6.584042,8.111176598912062,1045888.5922674198,1046785.5723610787
256-pre,2,15,219055594,3.6509385539149184,1.635094469,0.481042,213137,213433,480089,58.022531998,3.010041,8.014720306829377,1044730.7323358654,1046181.6315076255
256-pre,3,0,223995749,3.733274927583092,1.730632524,0.478792,217557,217937,490220,57.901960288,3.025417,8.295927629383197,1042877.1574766269,1044698.7183541952
256-pre,3,1,220009434,3.666836122787076,1.70457283,0.690083,213895,214190,481837,57.93637558,5.125083,8.31905753471027,1043900.7240229526,1045340.4524578705
256-pre,3,2,219658025,3.6609794696472053,1.725697292,3.342833,213602,213919,481187,57.914797998,4.611083,8.435627871933841,1044138.501609709,1045688.0746708708
256-pre,3,3,218262825,3.6377252694633535,1.727026961,0.526083,212329,212588,478242,57.915816062,5.296541,8.496092173283824,1044550.4301893646,1045824.578145692
256-pre,3,4,216336088,3.605613785847102,1.734133305,0.447875,210599,210845,474299,57.912561899,3.212083,8.607031194766952,1045266.9107734628,1046487.8836178271
256-pre,3,5,215029340,3.583832845909681,1.750694926,0.444,209394,209595,471524,57.897891577,6.508584,8.742036612821233,1045601.9420171033,1046605.6288006093
256-pre,3,6,214423387,3.5737358034287685,1.777508026,2.98,208766,209027,470180,57.869378342,3.205958,8.901009991097098,1045412.0176227979,1046718.9954668891
256-pre,3,7,213561998,3.5593788538673983,1.707797903,0.519542,207949,208153,468279,57.94258991,6.706042,8.586424797311528,1045520.929051132,1046546.5952939437
256-pre,3,8,213239993,3.5540106638323468,1.745984935,0.619959,207731,207884,467713,57.904044301,3.554084,8.791676563145552,1046002.0172732982,1046772.4285679188
256-pre,3,9,212854816,3.5475913233262912,1.726696797,0.479834,207238,207428,466670,57.925470833,2.905,8.710287148521637,1045407.9090327559,1046366.3601986435
256-pre,3,10,212408541,3.540152262426335,1.737990795,0.609542,206857,207039,465791,57.913170358,3.562791,8.785679697872931,1045678.3490978737,1046598.3733636022
256-pre,3,11,212033225,3.5338987451991923,1.742066497,0.540875,206539,206707,465049,57.908862547,2.691208,8.821870525329558,1045918.9242022613,1046769.6806175918
256-pre,3,12,211808229,3.530149329015185,1.741353882,0.6465,206055,206359,464162,57.912621391,3.735792,8.82762913563741,1044576.3726409327,1046117.4719458893
256-pre,3,13,211631031,3.5271962539734933,1.758473458,3.011458,205808,206182,463695,57.8877283,4.554042,8.921879222185085,1044197.8015681074,1046095.3467451
256-pre,3,14,211576298,3.526282917438669,1.722508902,0.465875,205986,206209,463887,57.931227234,4.528208,8.741668456122232,1045371.270077067,1046502.986762799
256-pre,3,15,211308797,3.521825022750076,1.722991869,0.44325,205623,205895,463144,57.930602614,3.234334,8.755188891436587,1044850.0876958378,1046232.2250241196
256-pre,4,0,220093036,3.6680259179812786,1.644090499,0.471208,213898,214216,481887,57.995242599,3.941958,8.020829569624958,1043518.8356888857,1045070.2246207554
256-pre,4,1,216363557,3.6058713573377603,1.616994202,0.559625,210526,210752,474139,58.027128677,2.758917,8.02461527221474,1044771.9309746049,1045893.4953248526
256-pre,4,2,216100015,3.601479099531626,1.613415461,0.375541,210317,210562,473676,58.031679758,5.90225,8.016619804325051,1045007.6053822023,1046224.9433212117
256-pre,4,3,214803735,3.57987484355194,1.625005334,0.428666,209140,209362,470982,58.021157669,5.347042,8.1229322727507,1045430.4487366572,1046540.1626107106
256-pre,4,4,212853711,3.547377386375908,1.619585482,0.415,207207,207416,466627,58.030830601,3.07975,8.170008694687963,1045256.9564341211,1046311.2581898279
256-pre,4,5,211906003,3.5315824269236886,1.625733676,0.439042,206331,206515,464618,58.026229477,4.662916,8.237700763042872,1045492.9126653576,1046425.2529144255
256-pre,4,6,211149297,3.518971846164938,1.637902704,0.472792,205682,205829,463098,58.016102169,3.6065,8.329104865205837,1045939.3849839245,1046686.9131565046
256-pre,4,7,210342372,3.505523270110688,1.632699847,0.362917,204911,205064,461365,58.02352281,4.530042,8.334498156949095,1046016.1155626029,1046797.1398398797
256-pre,4,8,210100026,3.501483738968203,1.647990205,0.607709,204577,204764,460672,58.007161568,4.076917,8.422255067454556,1045515.7255832419,1046471.4119051846
256-pre,4,9,209559051,3.492468484937278,1.642715924,0.598958,204086,204250,459535,58.012886298,4.982292,8.41697261050111,1045698.9227960572,1046539.2284678747
256-pre,4,10,209329966,3.4886512986549483,1.634069411,1.719708,203908,204091,459142,58.022209137,4.480667,8.381832297769282,1045930.2699556737,1046868.9542613502
256-pre,4,11,208915216,3.481738693993775,1.617031866,0.4075,203470,203675,458187,58.03970695,3.121917,8.310906110663398,1045755.5610946021,1046809.1802523374
256-pre,4,12,208723188,3.4785383942227415,1.621093972,0.43725,203286,203465,457746,58.035366169,3.090125,8.339449081099149,1045771.1120896831,1046691.9479025971
256-pre,4,13,208688007,3.4779516690594305,1.642530322,1.535,203131,203376,457493,58.014385636,5.299875,8.451149298289995,1045149.9038511782,1046410.4781920889
256-pre,4,14,208470005,3.474318144873147,1.597184248,0.319792,203137,203285,457355,58.061283663,5.523458,8.226428198683012,1046273.7452416141,1047036.0313553981
256-pre,4,15,208318475,3.471793355720165,1.603575655,0.460458,202866,203090,456852,58.054328448,6.262292,8.265355479016899,1045637.977464956,1046792.5470180213
256-pre,5,0,214805195,3.580064864273157,1.51212046,0.490042,208862,209117,470460,58.133492398,11.20975,7.558602019974978,1044033.71084339,1045308.3735214504
256-pre,5,1,211742607,3.5290228052165893,1.5098593,0.292417,206096,206314,464142,58.140047588,4.188,7.656461312792674,1045108.0115354583,1046213.4844534902
256-pre,5,2,211491033,3.524829518517206,1.492445203,0.503042,205856,206036,463563,58.158729603,4.906625,7.577157346852006,1045132.712181438,1046046.5737555124
256-pre,5,3,210058142,3.50094878617952,1.518900026,0.523417,204635,204803,460759,58.134049751,3.276958,7.764071741579469,1046020.6686691535,1046879.4243675258
256-pre,5,4,208398940,3.47329505844932,1.528183698,0.422625,203048,203210,457173,58.126850935,4.088833,7.873719277543279,1046171.9713140192,1047006.6501059938
256-pre,5,5,207545528,3.459070860047544,1.509629647,0.422875,202175,202322,455204,58.14712285,4.928167,7.810105601187687,1045957.2671071959,1046717.7751733008
256-pre,5,6,206919726,3.4486411207665153,1.513511108,0.745417,201536,201705,453795,58.145516548,4.158917,7.8538678219020115,1045804.7496238421,1046681.7195085596
256-pre,5,7,206362922,3.439361569131997,1.525495998,0.713792,201106,201244,452768,58.13427543,5.234917,7.9374184059926245,1046389.1534611242,1047107.1912281606
256-pre,5,8,205713912,3.4285446858742965,1.497954318,0.396333,200365,200516,451140,58.162322092,5.196667,7.818704073247102,1045822.7082170311,1046610.8659738287
256-pre,5,9,205600855,3.4266606422578665,1.528814286,0.553833,200376,200496,451104,58.130970118,5.134708,7.984168353808148,1046455.238358926,1047081.9333154232
256-pre,5,10,205178258,3.4196158047857796,1.507527721,0.472542,199804,199981,449914,58.154406298,4.996791,7.889215848967306,1045617.1793918633,1046543.458349003
256-pre,5,11,204926630,3.4154236823336075,1.518547226,0.49275,199711,199864,449642,58.144241586,4.780167,7.956641205076081,1046413.798991688,1047215.4639537868
256-pre,5,12,204600340,3.409984695260791,1.509999962,0.33475,199420,199548,448955,58.152696653,4.114542,7.924474189230627,1046555.4189307799,1047227.1624551162
256-pre,5,13,204447800,3.4074422639820012,1.511121532,0.614375,199196,199362,448508,58.152038994,4.57725,7.936277084201221,1046159.8333340051,1047031.6507014895
256-pre,5,14,204346637,3.405756621743161,1.510164493,0.470042,199081,199276,448282,58.153230579,4.833333,7.935177211914945,1046073.4720275529,1047098.101836753
256-pre,5,15,204303057,3.4050304063165484,1.493705524,0.447625,198960,199195,448070,58.16885599,4.908084,7.8503675735925755,1045660.6789933642,1046895.7526743225
128,1,0,219571075,3.6595255406782097,1.76671475,3.618416,213211,213613,480469,57.864960725,3.890167,8.639551079998602,1042639.9198385489,1044605.771730689
128,1,1,215505669,3.5917691117548642,1.737791236,2.502083,209619,209902,472173,57.8962736,7.922958,8.65842249130743,1044411.9101342804,1045821.9377108265
128,1,2,215115797,3.585271409948529,1.711851265,0.519417,209342,209574,471472,57.929206537,6.046375,8.54463654148936,1044922.1491614026,1046080.1678036504
128,1,3,213707830,3.5618050026376724,1.735909066,1.742125,207921,208186,468320,57.903252901,4.453291,8.721805685945043,1044666.7947912998,1045998.246162829
128,1,4,212337959,3.538974299922938,1.726718029,0.527708,206659,206900,465437,57.917154935,8.45075,8.731596435812708,1045024.6986033053,1046243.3774528274
128,1,5,211148359,3.519147058790196,1.676523802,0.473917,205687,205859,463133,57.971490803,5.569208,8.525539737388604,1045969.4576792235,1046844.1203789606
